
C79E  78        SEI 
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07E6 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07E5 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07E4 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07E3 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07E2 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07E1 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07E0 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07DF = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07DE = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07DD = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07DC = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07DB = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07DA = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07D9 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07D8 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07D7 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07D6 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07D5 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07D4 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07D3 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07D2 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07D1 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07D0 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07CF = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07CE = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07CD = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07CC = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07CB = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07CA = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07C9 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07C8 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07C7 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07C6 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07C5 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07C4 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07C3 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07C2 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07C1 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07C0 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07BF = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07BE = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07BD = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07BC = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07BB = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07BA = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07B9 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07B8 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07B7 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07B6 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07B5 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07B4 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07B3 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07B2 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07B1 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07B0 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07AF = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07AE = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07AD = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07AC = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07AB = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07AA = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07A9 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07A8 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07A7 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07A6 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07A5 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07A4 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07A3 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07A2 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07A1 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 07A0 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 079F = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 079E = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 079D = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 079C = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 079B = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 079A = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0799 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0798 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0797 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0796 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0795 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0794 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0793 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0792 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0791 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0790 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 078F = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 078E = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 078D = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 078C = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 078B = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 078A = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0789 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0788 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0787 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0786 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0785 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0784 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0783 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0782 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0781 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0780 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 077F = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 077E = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 077D = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 077C = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 077B = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 077A = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0779 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0778 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0777 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0776 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0775 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0774 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0773 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0772 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0771 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0770 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 076F = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 076E = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 076D = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 076C = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 076B = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 076A = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0769 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0768 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0767 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0766 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0765 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0764 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0763 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0762 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0761 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0760 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 075F = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 075E = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 075D = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 075C = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 075B = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 075A = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0759 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0758 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0757 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0756 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0755 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0754 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0753 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0752 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0751 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0750 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 074F = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 074E = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 074D = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 074C = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 074B = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 074A = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0749 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0748 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0747 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0746 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0745 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0744 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0743 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0742 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0741 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0740 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 073F = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 073E = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 073D = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 073C = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 073B = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 073A = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0739 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0738 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0737 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0736 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0735 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0734 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0733 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0732 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0731 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0730 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 072F = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 072E = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 072D = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 072C = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 072B = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 072A = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0729 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0728 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0727 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0726 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0725 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0724 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0723 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0722 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0721 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0720 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 071F = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 071E = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 071D = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 071C = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 071B = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 071A = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0719 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0718 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0717 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0716 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0715 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0714 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0713 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0712 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0711 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 0710 = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 070F = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 070E = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
C7B9  91 00     STA ($00),Y = 0700 @ 070D = 00
C7BB  88        DEY 
C7BC  D0 FB     BNE $C7B9
